date,weight,parking_active,shares,cash_krw,parked_krw,tqqq_buy_fee_krw,tqqq_sell_fee_krw,sleeve_buy_fee_krw,sleeve_sell_fee_krw,equity_krw
2011-06-23,0.0,True,0.0,0.0,99990000.99990001,0.0,0.0,9999.000099990002,0.0,99990000.99990001
2011-06-24,0.0,True,0.0,0.0,100003805.26501809,0.0,0.0,0.0,0.0,100003805.26501809
2011-06-27,0.0,True,0.0,0.0,100017611.43590407,0.0,0.0,0.0,0.0,100017611.43590407
2011-06-28,0.0,True,0.0,0.0,100031419.51282108,0.0,0.0,0.0,0.0,100031419.51282108
2011-06-29,0.0,True,0.0,0.0,100045229.49603224,0.0,0.0,0.0,0.0,100045229.49603224
2011-06-30,0.0,True,0.0,0.0,100059041.38580072,0.0,0.0,0.0,0.0,100059041.38580072
2011-07-01,0.0,True,0.0,0.0,100072855.18238975,0.0,0.0,0.0,0.0,100072855.18238975
2011-07-05,0.0,True,0.0,0.0,100086670.88606258,0.0,0.0,0.0,0.0,100086670.88606258
2011-07-06,0.0,True,0.0,0.0,100100488.49708249,0.0,0.0,0.0,0.0,100100488.49708249
2011-07-07,0.0,True,0.0,0.0,100114308.0157128,0.0,0.0,0.0,0.0,100114308.0157128
2011-07-08,0.0,True,0.0,0.0,100128129.44221686,0.0,0.0,0.0,0.0,100128129.44221686
2011-07-11,0.0,True,0.0,0.0,100141952.77685808,0.0,0.0,0.0,0.0,100141952.77685808
2011-07-12,0.0,True,0.0,0.0,100155778.01989987,0.0,0.0,0.0,0.0,100155778.01989987
2011-07-13,0.0,True,0.0,0.0,100169605.17160572,0.0,0.0,0.0,0.0,100169605.17160572
2011-07-14,0.0,True,0.0,0.0,100183434.23223913,0.0,0.0,0.0,0.0,100183434.23223913
2011-07-15,0.0,True,0.0,0.0,100197265.20206362,0.0,0.0,0.0,0.0,100197265.20206362
2011-07-18,0.0,True,0.0,0.0,100211098.08134279,0.0,0.0,0.0,0.0,100211098.08134279
2011-07-19,0.0,True,0.0,0.0,100224932.87034023,0.0,0.0,0.0,0.0,100224932.87034023
2011-07-20,0.0,True,0.0,0.0,100238769.5693196,0.0,0.0,0.0,0.0,100238769.5693196
2011-07-21,0.0,True,0.0,0.0,100252608.1785446,0.0,0.0,0.0,0.0,100252608.1785446
2011-07-22,0.0,True,0.0,0.0,100266448.69827893,0.0,0.0,0.0,0.0,100266448.69827893
2011-07-25,0.0,True,0.0,0.0,100280291.12878636,0.0,0.0,0.0,0.0,100280291.12878636
2011-07-26,0.0,True,0.0,0.0,100294135.47033067,0.0,0.0,0.0,0.0,100294135.47033067
2011-07-27,0.0,True,0.0,0.0,100307981.7231757,0.0,0.0,0.0,0.0,100307981.7231757
2011-07-28,0.0,True,0.0,0.0,100321829.88758533,0.0,0.0,0.0,0.0,100321829.88758533
2011-07-29,0.0,True,0.0,0.0,100335679.96382345,0.0,0.0,0.0,0.0,100335679.96382345
2011-08-01,0.0,True,0.0,0.0,100349531.95215401,0.0,0.0,0.0,0.0,100349531.95215401
2011-08-02,0.0,True,0.0,0.0,100363385.85284097,0.0,0.0,0.0,0.0,100363385.85284097
2011-08-03,0.0,True,0.0,0.0,100377241.66614836,0.0,0.0,0.0,0.0,100377241.66614836
2011-08-04,0.0,True,0.0,0.0,100391099.39234023,0.0,0.0,0.0,0.0,100391099.39234023
2011-08-05,0.0,True,0.0,0.0,100404959.03168064,0.0,0.0,0.0,0.0,100404959.03168064
